BARCODE,DESCRIPTION,CODE
8000380003723,LOACKER PATISSERIE  CREME NOISETTE 100GR,LK3546
8000380003761,LOACKER PATISSERIE COCONUT 100GR,LK3548
8000380003754,LOACKER PASTICERIA CAPUCCINO 100G,LK3547
8000380180837,LOACKER PATISSERIE  WHITE HAZELNUT 100G,LK3524
8000380148035,LOACKER PASTICERIA DARKHAZLNUT 100G,LK3549
8000380187256,LOACKER BISCUITS PEANUT BUTTER 100G,LK4103
8000380185337,LOACKER MINIS PENCIL 18X100G,LK3357
8000380187249,LOACKER NUT SELECTION ALMOND 100G,LK3851
8000380187119,LOACKER NUT SELECTION HAZELNUT 100G,LK3850
8000380187300,LOACKER GRAN PASTIC SNOW MILK 12X120G,LK3852
8000380201525,LOACKER PATISSERIE CREME 6X21G,LK3630
8000380201549,LOACKER PATISSERIE COCONUT 6X21G,LK3640
8000380001149,LOACKER NAPOLITANER MINIS 150GR,LK3552
8000380001040,LOACKER CREMKAKAO MINIS 150GR,LK3553
8000380154197,LOACKER VANILLA MINIS 150GX7,LK3554
8000380205875,LOACKER PEANUT MINIS 150G,LK4105
8000380001019,LOACKER CLASSIC MINIS 6X200G NAPOLITAI,LK3374
8000380001118,LOACKER CLASSIC MINIS 6X200G CREMKAKAO,LK3375
8000380152124,LOACKER CLASSIC MINIS 6X200G VANILLE,LK3373
8000380184682,LOACKER CLASSIC MINIS MIX 4X800G E COM,LK4040
8000380158270,LOACKER RASPBERRY 18X150G,LK3472
8000380007219,LOACKER NAPOLITANER 175 GR,LK3514
8000380007264,LOACKER CREMKAKAO 175GR,LK3512
8000380007240,LOACKER VANILLA 175GR,LK3511
8000380007271,LOACKER MILK 175GR,LK3513
8000380192199,LOACKER DOUBLE CHOC 175G,LK3611
8000380155491,LOACKER LOACKINI DISPENSER 10GX45,LK3500
8000380001446,LOACKER LOACKINI BAG 100 GR,LK3588
8000380158546,LOACKER LOACKINI BAG DARK 100G,LK3589
0000080885559,LOACKER WAFER CUBE NAPO 12X54G,LK4215
