CODE,CUSTOMER,SHORT_NAME
S897-001,SEVEN COLOURS,SEVEN COLOURS
S131-001,7EMIRATES SUPERMARKET,7EMIRATES
A1012-001,ABU DHABI MARKET,ABU DHABI MARKET
T336-002,THREE STAR FASHIONS WLL BRANCH 3,THREE STAR BRANCH 4
W003-108,WEST ZONE NAJDA STREET,WEST ZONE NAJDA
A934-001,AL AHLIA CO-OP SOCIETY,AHLIA COOP 
A320-065,ALL DAY MINIMART - AL BATEEN,ALL DAY BATEEN
A320-066,ALL DAY PLUS MARKET LLC BR,ALL DAY PLUS
F267-001,FOURSTAR HYPERMARKET SHAKHBOUT CITY,FOURSTAR SHAKHBOUT
S972-001,GRANITE BRANCH-4 AIRPORT ROAD,GRANITAIRPORT
H320-001,HYDE PARK SUPERMARKET SHAKHBOUT CITY,HYDE PARK SHAKHBOUT
M1034-001,MESTO HYPERMARKET LLC OPC,MESTO
P238-001,PALLETS GENERAL TRADING,PALLETS
R496-001,RICH & FRESH SM BR3 AIRPORT RD CHURCHES,RICH & FRESH BR3
R297-003,RICH & FRESH SM BR3 DALMA STREET,RICH & FRESH DALMA
R295-002,ROYAL CITY MARKET AL FALAH,ROYAL CITY FALAH
R352-001,ROYAL CITY MARKET SHAKHBOUT CITY,ROYAL CITY SHAKHBOUT
R352-003,ROYAL GULF HYPERMARKET BANIYAS,ROYAL GULF BANIYAS
S956-001,S M LAGUNA HYPERDN WEST ZONE,S M LAGUNA
S1119-001,SEVEN LAND SHOPPING CENTRE AL FALAH5,SEVEN LAND FALAH6
W003-094,WEST ZONE ABU DHABI 7,WEST ZONE BR 8
W003-101,WEST ZONE AUH BR 1,WEST ZONE BR 2
W003-104,WEST ZONE S/M DANAT TOWER,WEST ZONE DANAT
A047-504,ADNOC - 164 ARADAH,ADNOC 164
A047-523,ADNOC - 165-QUTOUF,ADNOC 165
A047-509,ADNOC - 166-AL HAYALAH,ADNOC 166
A047-182,ADNOC 159-AL RDOUM S/S BANIYAS,ADNOC 159
A047-185,ADNOC 162-SHUHADA AL EMARAT S/S NR MUSHRIF MALL,ADNOC 162
A047-528,ADNOC 163-MAHAWI MAHAWI,ADNOC 163
A047-204,ADNOC 167-AL RAMLAN SHAKBOUT CITY,ADNOC 167
A047-203,ADNOC 169-NAKHEEL MOTOR WORLD - PERMISSION NEEDED,ADNOC 169
A047-543,ADNOC 170-AL FALAH NR LULU ALFALA,ADNOC 170
A047-539,ADNOC 171-MADEENA AL MAFRAQ NR BANIYAS C4,ADNOC 171
A047-542,ADNOC 486-TAMOUH AL REEM ISLAND,ADNOC 486
A047-145,ADNOC 662-KHALIFA IND CITY KIZAD DUBAI ROAD,ADNOC 662
A047-149,ADNOC 666-AL JARF KIZAD DUBAI ROAD,ADNOC 666
A047-140,ADNOC 674-EMIRATES SPIRIT-M MUSAFFAH,ADNOC 674
A047-144,ADNOC 676-AL HAFFAR S/S AUH HAFFAR ALAIN ROAD,ADNOC 676
A047-976,ADNOC 686- AL MEARAD ADH SWEIHAN ROAD,ADNOC 686
A047-970,ADNOC 687 YAS ISLAND,ADNOC 687
A047-971,ADNOC 688 YAS ISLAND,ADNOC 688
